,y_real,y_model
2020-02-15,116.29052631578948,116.38844360902256
2020-02-21,115.29736842105264,114.89307105263158
2020-02-04,113.18105263157895,113.1285509569378
2020-02-17,116.29052631578948,114.89307105263158
2020-02-13,116.69552631578948,116.38844360902256
2020-03-30,90.46921052631579,90.41426315789474
2020-03-06,100.93236842105263,105.54563157894736
2020-03-17,79.89368421052632,77.97915789473686
2020-04-03,54.86833333333333,86.1632105263158
2020-03-04,105.23342105263157,105.34710526315789
2020-03-15,80.98394736842106,88.38459459459459
2020-03-01,104.33868421052631,104.3386842105263
2020-02-25,110.45921052631579,114.89307105263158
2020-03-14,80.98394736842106,88.38459459459459
2020-03-11,93.34973684210526,92.70073399715506
2020-01-16,116.82105263157894,115.58508990715093
2020-01-06,113.90578947368421,115.58508990715093
2020-02-12,116.55947368421053,116.38844360902256
2020-03-16,80.98394736842106,80.02091891891892
2020-02-22,112.53447368421051,114.89307105263158
2020-01-27,114.74789473684211,115.58508990715093
2020-03-29,90.46921052631579,90.44173684210526
2020-02-11,115.40394736842106,116.38844360902256
2020-02-09,114.80868421052631,116.38844360902256
2020-02-08,114.80868421052631,116.38844360902256
2020-02-20,117.17368421052633,114.89307105263158
2020-03-10,95.92921052631579,95.66473684210527
2020-03-08,95.66473684210527,95.66473684210527
2020-02-26,108.33026315789475,114.89307105263158
